Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality,Crop_Type_Corn,Crop_Type_Cotton,Crop_Type_Potato,Crop_Type_Rice,Crop_Type_Soybean,Crop_Type_Sugarcane,Crop_Type_Sunflower,Crop_Type_Tomato,Crop_Type_Wheat,Soil_Type_Loamy,Soil_Type_Peaty,Soil_Type_Saline,Soil_Type_Sandy
6.5,20.052576424032637,79.94742357596736,8.591576842195144,84.0,66.0,50.0,104.87131032861858,66.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.75,19.751848411984515,80.0,2.6826825548319304,50.0,40.0,30.0,58.93979633901676,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.5,16.110394507823717,80.0,7.696070494170769,49.5,45.0,38.5,32.97041272118097,22.166666666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.75,14.826739078862005,80.0,10.366657495668038,55.00000000000001,44.0,36.0,29.35611549155564,39.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.25,18.32327171374926,80.0,8.198083930243586,60.0,45.0,40.0,22.221375114874576,42.29166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.5,18.895963172575023,80.0,6.6967067309505,60.50000000000001,45.0,31.5,54.25972686316481,22.83333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6.5,16.865594573647094,80.0,9.311648638504131,70.0,66.0,55.00000000000001,68.11924993406157,63.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5.5,16.044317975023777,80.0,4.1209896283606735,60.50000000000001,45.0,31.5,28.72353011550643,22.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6.25,15.984306179345618,80.0,10.655914948161588,72.0,55.00000000000001,40.0,51.65627328069812,48.70833333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,11.400778958026455,80.0,11.382448900445914,65.0,55.0,45.0,8.159006261940537,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.5,19.438742297966787,80.0,11.428127762280916,77.0,66.0,60.0,108.29273092196144,67.66666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6.25,19.8777256356118,80.0,9.26275693771888,60.0,45.0,40.0,31.009610621508735,42.29166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
